,Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,9424,Winning Post 5,PS2,Sports,Tecmo Koei,0.0,0.0,0.13,0.0,0.13
1,15694,Prince of Stride,PSV,Adventure,Kadokawa Games,0.0,0.0,0.02,0.0,0.02
2,15166,Cities in Motion Collection,PC,Simulation,Unknown,0.0,0.02,0.0,0.0,0.02
3,12177,Winning Post 7 2010,PS3,Sports,Tecmo Koei,0.0,0.0,0.07,0.0,0.07
4,9874,"Ed, Edd n Eddy: The Mis-Edventures",GBA,Platform,Midway Games,0.08,0.03,0.0,0.0,0.12
5,935,GoldenEye 007 (2010),Wii,Action,Activision,0.85,0.71,0.13,0.16,1.86
6,2583,Dragon's Dogma,X360,Role-Playing,Capcom,0.42,0.24,0.07,0.06,0.8
7,10040,DiRT Rally,XOne,Racing,Codemasters,0.03,0.08,0.0,0.01,0.11
8,15402,Motocross Mania 3,XB,Racing,Take-Two Interactive,0.01,0.0,0.0,0.0,0.02
9,13761,Infamous: First Light,PS4,Action,Sony Computer Entertainment,0.0,0.03,0.0,0.01,0.04
10,8632,Just Dance: Disney Party,X360,Misc,Ubisoft,0.13,0.02,0.0,0.01,0.16
11,4579,NHL 2K6,PS2,Sports,Take-Two Interactive,0.21,0.16,0.0,0.05,0.42
12,8201,You Don't Know Jack,PS3,Misc,THQ,0.16,0.0,0.0,0.01,0.18
13,12997,Ultra Bust-A-Move,XB,Puzzle,505 Games,0.04,0.01,0.0,0.0,0.05
14,5974,Guardian Heroes,SAT,Role-Playing,Sega,0.0,0.0,0.29,0.0,0.29
15,7637,Ford Racing Off Road,PS2,Racing,Xplosiv,0.1,0.08,0.0,0.03,0.2
16,6035,Jewel Quest Mysteries: Curse of the Emerald Tear,DS,Puzzle,Avanquest,0.0,0.25,0.0,0.04,0.29
17,11826,Aero Elite: Combat Academy,PS2,Simulation,Sega,0.04,0.03,0.0,0.01,0.07
18,6080,Penguin no Mondai: Saikyou Penguin Densetsu! A Penguin's Troubles,DS,Adventure,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29
19,4650,Tom Clancy's HAWX 2,PS3,Action,Ubisoft,0.21,0.12,0.03,0.05,0.42
20,12256,RPG Maker 3,PS2,Role-Playing,Enterbrain,0.03,0.02,0.0,0.01,0.06
21,15810,Brave Story: Boku no Kioku to Negai,DS,Role-Playing,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
22,5006,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,Strategy,Namco Bandai Games,0.0,0.0,0.38,0.0,0.38
